BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER, ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,374,46,,A4,347 EAST 4TH STREET,,10009.0,1.0,0.0,1.0,2116.0,4400.0,1900.0,1,A4,399000,2022-09-29 00:00:00
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,377,1,,S2,110 AVENUE C,,10009.0,2.0,1.0,3.0,1502.0,2790.0,1901.0,1,S2,2999999,2022-09-15 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,373,16,,C1,326 EAST 4TH STREET,,10009.0,10.0,0.0,10.0,2204.0,8625.0,1899.0,2,C1,16800000,2022-08-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,373,17,,C1,328 EAST 4TH STREET,,10009.0,10.0,0.0,10.0,2204.0,8625.0,1900.0,2,C1,16800000,2022-08-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,54,,C4,"719 EAST SIXTH STREET, 1B",,10009.0,20.0,0.0,20.0,2302.0,9750.0,1900.0,2,C4,158822,2022-09-27 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,52,,C2,271 EAST 7TH STREET,,10009.0,5.0,0.0,5.0,2168.0,3728.0,1900.0,2,C2,0,2022-08-05 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,52,,C2,271 EAST 7TH STREET,,10009.0,5.0,0.0,5.0,2169.0,3728.0,1900.0,2,C2,0,2022-05-10 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,379,25,,C7,"434 EAST 10TH STREET, 4",,10009.0,7.0,1.0,8.0,4337.0,14347.0,1920.0,2,C7,1635000,2022-08-05 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,389,45,,C4,631 EAST 6TH STREET,,10009.0,10.0,0.0,10.0,2271.0,6985.0,1900.0,2,C4,5250000,2022-06-16 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,389,47,,C4,627 EAST 6TH STREET,,10009.0,10.0,0.0,10.0,2248.0,6985.0,1910.0,2,C4,5650000,2022-03-30 00:00:00
